aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
test	CVCC		ˈtest	C1VCC
test	CVCC		ˈtest	C1VCC
derive	CVCVC	0,2	di-ˈrīv	CVC1VC	_dIHr1AYv.
accumulate	VCVCVCVC	0,1,3,5	ə-ˈkyü-m(y)ə-ˌlāt	VCC1VCCVCVC	_AXky1UWmyIXlEYt.
prospect	CCVCCVCC	0,3	ˈprä-ˌspekt	CC1VCCVCC	_pr1AAspEHkt.
colt	CVCC	0	ˈkōlt	C1VCC	_k1OWlt.
licorice	CVCVCVC	0,2,4	ˈli-k(ə-)rish	C1VCVCCVC	_l1IHkAXrrIXS.
commemorate	CVCVCVCVC	0,2,4,6	kə-ˈme-mə-ˌrāt	CVC1VCVCCVC	_kAXm1EHmAXrrEYt.
glutamate	CCVCVCVC	0,3,5	ˈglü-tə-ˌmāt	CC1VCVCVC	_gl1UWtAXmEYt.
welter	CVCCVC	0,3	ˈwel-tər	C1VCCVC	_w1EHltAXr.
origin	VCVCVC	0,2,3	ˈȯr-ə-jən	1VCVCVC	_1AOrIXJIXn.
tardily	CVCCVCV	0,3,5	ˈtär-də-lē	C1VCCVCV	_t1AArdIXlIY.
predestination	CCVCVCCVCVCVC	0,3,6,8,10	(ˌ)prē-ˌdes-tə-ˈnā-shən	CCVCVCCVC1VCVC	_prIYdEHstIXn1EYSIXn.
unify	VCVCV	0,1,3	ˈyü-nə-ˌfī	C1VCVCV	_y1UWnIXfAY.
forswear	CVCCCVC	0,3	fȯr-ˈswer	CVCCC1VC	_fAOrsw1EHr.
debark	CVCVCC	0,2	di-ˈbärk	CVC1VCC	_dIHb1AArk.
analogous	VCVCVCVC	0,1,3,5	ə-ˈna-lə-gəs	VC1VCVCVC	_AXn1AElAXgAXs.
conjure	CC	0	vt	C1VCCVC	_k1AAnJAXr.
drollery	CCVCCV	0,4	ˈdrōl-rē	CC1VCVCCV	_dr1OWlAXrrIY.
chastity	CVCCVCV	0,3,5	ˈchas-tə-tē	C1VCCVCV	_C1AEstIXtIY.
satiate	CVCVVC	0,2,4	ˈsā-sh(ē-)ət	C1VCVVC	_s1EYSIYEYt.
ineligible	VCVCVCVCVC	0,1,3,5,7	(ˌ)i-ˈne-lə-jə-bəl	VC=1VCVCVCVC	_IHn=1EHlIXJIXbAXl.
roadway	CVCCV	0,3	ˈrōd-ˌwā	C1VCCV	_r1OWdwEY.
apportion	VCVCCVC	0,1,4	ə-ˈpȯr-shən	VC1VCCVC	_AXp1AOrSIXn.
fury	CVCV	0,3	ˈfyu̇r-ē	CC1VCV	_fy1UHrIY.
pistol	CVCCVC	0,3	ˈpis-təl	C1VCCVC	_p1IHstAXl.
boar	CVC	0	ˈbȯr	C1VC	_b1AOr.
perceive	CVCCVC	0,3	pər-ˈsēv	CVCC1VC	_pAXrs1IYv.
slop	CCVC	0	ˈsläp	CC1VC	_sl1AAp.
buttress	CVCCVC	0,2	ˈbə-trəs	C1VC=CVC	_b1UXt=rIHs.
hygienic	CVCVCVC	0,2,4	ˌhī-ˈjē-nik	CVC1VCVC	_hAYJ1EHnIHk.
castor	CVCCVC	0,3	ˈkas-tər	C1VCCVC	_k1AEstAXr.
fatality	CVCVCVCV	0,2,4,6	fā-ˈta-lə-tē	CVC1VCVCV	_fIXt1AElIXtIY.
pelting	CVCCVC	0,3	ˈpel-tiŋ	C1VCC=VC	_p1EHlt=IHN.
september	CVCCVCCVC	0,3,6	sep-ˈtem-bər	CVCC1VCCVC	_sEHpt1EHmbAXr.
sumatra	CVCVCCV	0,2,4	su̇-ˈmä-trə	CVC1VCCV	_sUWm1AAtrAX.
service	CVCCVC	0,3	ˈsər-vəs	C1VCCVC	_s1AXrvIXs.
farce	CVCC	0	ˈfärs	C1VCC	_f1AArs.
phrase	CCVC	0	ˈfrāz	CC1VC	_fr1EYz.
saccharin	CVCVCVC	0,2,4	ˈsa-k(ə-)rən	C1VCVCCVC	_s1AEkAXrrIXn.
pentagram	CVCCVCCVC	0,3,5	ˈpen-tə-ˌgram	C1VCCV CC2VC	_p1EHntAX ~gr2AEm.
big	CVC	0	ˈbig	C1VC	_b1IHg.
magazine	CVCVCVC	0,2,4	ˈma-gə-ˌzēn	CVCVC1VC	_mAEgIXz1IYn.
pedestal	CVCVCCVC	0,2,5	ˈpe-dəs-təl	C1VCVCCVC	_p1EHdIXstAXl.
rein	CVC	0	ˈrān	C1VC	_r1EYn.
detainer	CVCVCVC	0,2,4	di-ˈtā-nər	CVC1VC=VC	_dIHt1EYn=AXr.
diverge	CVCVCC	0,2	də-ˈvərj	CVC1VCC	_dIHv1AXrJ.
cymbal	CVCCVC	0,3	ˈsim-bəl	C1VCCVC	_s1IHmbAXl.
tiebreak	CVCCVC	0,2	ˈtī-ˌbrāk	C1V CC2VC	_t1AY ~br2EYk.
basket	CVCCVC	0,3	ˈbas-kit	C1VCCVC	_b1AEskIXt.
officiate	VCVCVVC	0,1,3,5	ə-ˈfi-shē-ˌāt	VC1VCVVC	_AXf1IHSIYEYt.
approbation	VCCVCVCVC	0,1,4,6	ˌa-prə-ˈbā-shən	VCCVC1VCVC	_AEprIXb1EYSIXn.
brail	CCVC	0	ˈbrāl	CC1VC	_br1EYl.
transfiguration	CCVCCCVCVCVCVC	0,5,7,9,11	(ˌ)tran(t)s-ˌfi-gyə-ˈrā-shən	CC1VCCCVCCVC1VCVC	_tr1AEnsfIHgyIXr1EYSIXn.
warble	CVCCVC	0,3	ˈwȯr-bəl	C1VCCVC	_w1AOrbAXl.
bindery	CVCCVCV	0,3,5	ˈbīn-d(ə-)rē	C1VCCCV	_b1AYndrIY.
ricochet	CVCVCV	0,2,4	ˈri-kə-ˌshā	C1VCVCV	_r1IHkAXSEY.
split	CCCVC	0	ˈsplit	CCC1VC	_spl1IHt.
no	CV	0	ˈnō	C1V	_n1OW.
convoy	CVCCV	0,3	ˈkän-ˌvȯi	C1VCCV	_k1AAnvOY.
sorority	CVCVCVCV	0,2,5,6	sə-ˈrȯr-ə-tē	CVCC1VCVCV	_sAXrr1AOrIXtIY.
lazybones	CVCVCVCC	0,2,4	ˈlā-zē-ˌbōnz	C1VCV C2VCC	_l1EYzIY ~b2OWnz.
configure	CVCCVCVC	0,3,5	kən-ˈfi-gyər	CVCC1VCCVC	_kAXnf1IHgyAXr.
monolithic	CVCVCVCVC	0,2,4,6	ˌmä-nə-ˈli-thik	C1VCVC1VCVC	_m1AAnAXl1IHTIHk.
lost	CVCC	0	ˈlȯst	C1VCC	_l1AOst.
sarge	CVCC	0	ˈsärj	C1VCC	_s1AArJ.
rung	CVC	0	ˈrəŋ	C1VC	_r1UXN.
preparedness	CCVCVCVCCVC	0,3,6,8	pri-ˈper-əd-nəs	CCVC1VCVCCVC	_prIHp1EHrIXdnIXs.
voluntary	CVCVCCVCV	0,2,5,8	ˈvä-lən-ˌter-ē	C1VCVCCVCV	_v1AAlIXntEHrIY.
societal	CVCVVCVC	0,2,4,5	sə-ˈsī-ə-təl	CVC1VVCVC	_sIXs1AYIXtAXl.
latin	CVCVC	0,2	ˈla-tən	C1VCVC	_l1AEtIXn.
augustus	VCVCCVC	0,1,4	ȯ-ˈgəs-təs	VC1VCCVC	_AOg1UXstIXs.
picturesque	CVCCVCVCC	0,3,5	ˌpik-chə-ˈresk	CVCCVCC1VCC	_pIHkSAXrr1EHsk.
upriver	VCCVCVC	0,2,4	ˈəp-ˈri-vər	VCC1VCVC	_UXpr1IHvAXr.
undress	VCCCVC	0,2	ən-ˈdres	1VCCC1VC	_1UXndr1EHs.
par	CVC	0	ˈpär	C1VC	_p1AAr.
unattached	VCVCVCC	0,2,3	ˌən-ə-ˈtacht	1VC=VC1VCC	_1UXn=IXt1AECt.
monoculture	CVCVCVCCVC	0,2,4,7	ˈmä-nə-ˌkəl-chər	C1VCVCVCCVC	_m1AAnAXkUXlCAXr.
nebula	CVCVCV	0,2,4	ˈne-byə-lə	C1VCCVCV	_n1EHbyIXlAX.
inveterate	VCCVCVCVC	0,2,4,6	in-ˈve-t(ə-)rət	VCC1VCVCCVC	_IHnv1EHtAXrrIXt.
camphor	CVCCVC	0,3	ˈkam(p)-fər	C1VCCVC	_k1AEmfAXr.
wield	CVCC	0	ˈwēld	C1VCC	_w1IYld.
coiffure	CCVCVC	0,3	kwä-ˈfyu̇r	CCVCC1VC	_kwAAfy1UHr.
descent	CVCVCC	0,2	di-ˈsent	CVC1VCC	_dIHs1EHnt.
drown	CCVC	0	ˈdrau̇n	CC1VC	_dr1AWn.
busty	CVCCV	0,3	ˈbəs-tē	C1VCCV	_b1UXstIY.
obsidian	VCCVCVVC	0,2,4,6	əb-ˈsi-dē-ən	VCC1VCVVC	_AXbs1IHdIYIXn.
suds	CVCC	0	ˈsədz	C1VCC	_s1UXdz.
malaise	CVCVC	0,2	mə-ˈlāz	CVC1VC	_mAXl1EYz.
souled	CVCC	0	ˈsōld	C1VCC	_s1OWld.
paranormal	CVCVCVCCVC	0,2,4,7	ˌpa-rə-ˈnȯr-məl	C1VCV=C1VCCVC	_p1AErAX=n1AOrmAXl.
canyon	CVCVC	0,3	ˈkan-yən	C1VCCVC	_k1AEnyIXn.
manger	CVCCVC	0,3	ˈmān-jər	C1VCCVC	_m1EYnJAXr.
conformal	CVCCVCCVC	0,3,6	kən-ˈfȯr-məl	CVCC1VCCVC	_kAXnf1AOrmAXl.
dynamite	CVCVCVC	0,2,4	ˈdī-nə-ˌmīt	C1VCVCVC	_d1AYnAXmAYt.
pimp	CVCC	0	ˈpimp	C1VCC	_p1IHmp.
methodology	CVCVCVCVCV	0,2,4,6,8	ˌme-thə-ˈdä-lə-jē	CVCVC1VCVCV	_mEHTIXd1AAlIXJIY.
immobile	VCCVCVC	0,2,4	(ˌ)i(m)-ˈmō-bəl	VC1VCVC	_IHm1OWbAXl.
bangkok	CVCCVC	0,3	ˈbaŋ-ˌkäk	C1VCCVC	_b1AENkAAk.
stray	CCCV	0	ˈstrā	CCC1V	_str1EY.
splenetic	CCCVCVCVC	0,4,6	spli-ˈne-tik	CCCVC1VCVC	_splIXn1EHtIHk.
caterpillar	CVCVCCVCVC	0,2,5,7	ˈka-tə(r)-ˌpi-lər	C1VCVCCVCVC	_k1AEtAXrpIHlAXr.
regret	CVCCVC	0,2	ri-ˈgret	CVCC1VC	_rIXgr1EHt.
smithy	CCVCV	0,3	ˈsmi-thē	CC1VCV	_sm1IHTIY.
outstation	VCCCVCVC	0,2,5	ˈau̇t-ˌstā-shən	2VC CC1VCVC	~2AWt _st1EYSIXn.
wreckage	CVCVC	0,2	ˈre-kij	C1VCVC	_r1EHkIHJ.
treadle	CCVCVC	0,3	ˈtre-dəl	CC1VCVC	_tr1EHdAXl.
menthol	CVCCVC	0,3	ˈmen-ˌthȯl	C1VCCVC	_m1EHnTAOl.
cruncher	CCVCCVC	0,4	ˈkrən-chər	CC1VCC=VC	_kr1UXnC=AXr.
nobody	CVCVCV	0,2,4	ˈnō-bə-dē	C1VCVCV	_n1OWbAAdIY.
bipolar	CVCVCVC	0,2,4	(ˌ)bī-ˈpō-lər	C1VC1VCVC	_b1AYp1OWlAXr.
soda	CVCV	0,2	ˈsō-də	C1VCV	_s1OWdAX.
rumple	CVCCVC	0,3	ˈrəm-pəl	C1VCCVC	_r1UXmpAXl.
microsurgery	CVCCVCVCCCV	0,2,5,9	ˌmī-krō-ˈsərj-rē	C1VCCV C2VCCVCCV	_m1AYkrOW ~s2AXrJAXrrIY.
blockish	CCVCVC	0,3	ˈblä-kish	CC1VC=VC	_bl1AAk=IXS.
brilliant	CCVCVCC	0,4	ˈbril-yənt	CC1VCCVCC	_br1IHlyIXnt.
vanilla	CVCVCV	0,2,4	və-ˈni-lə	CVC1VCV	_vAXn1IHlAX.
kipper	CVCVC	0,2	ˈki-pər	C1VCVC	_k1IHpAXr.
choirboy	CCVVCCV	0,3,5	ˈkwī(-ə)r-ˌbȯi	CC1VVC C2V	_kw1AYAXr ~b2OY.
utah	VCV	0,1	ˈyü-ˌtȯ	C1VCV	_y1UWtAO.
tenancy	CVCVCCV	0,2,5	ˈte-nən(t)-sē	C1VCVCCV	_t1EHnIXnsIY.
hierarchic	CVVCVCCVCVC	0,2,3,6,8	ˌhī-(ə-)ˈrär-ki-kəl	C1VCVCCVC	_h1AYrAArkIHk.
chronometer	CCVCVCVCVC	0,3,5,7	krə-ˈnä-mə-tər	CCVC1VCVCVC	_krAXn1AAmIXtAXr.
inkstand	VCCCCVCC	0,3	ˈiŋk-ˌstand	1VCC CC2VCC	_1IHNk ~st2AEnd.
receptor	CVCVCCVC	0,2,5	ri-ˈsep-tər	CVC1VCCVC	_rIXs1EHptAXr.
symmetrical	CVCVCCVCVC	0,2,4,7	sə-ˈme-tri-kəl	CVC1VCCVCVC	_sIHm1EHtrIHkAXl.
compunction	CVCCVCCCVC	0,3,7	kəm-ˈpəŋ(k)-shən	CVCC1VCCCVC	_kAXmp1UXNkSIXn.
partisan	CVCCVCVC	0,3,5	ˈpär-tə-zən	C1VCCVCVC	_p1AArtIXzIXn.
ray	CV	0	ˈrā	C1V	_r1EY.
philharmonic	CVCVCCVCVC	0,2,5,7	ˌfi-lər-ˈmä-nik	CVCCVCC1VCVC	_fIHlhAArm1AAnIHk.
squadron	CCCVCCVC	0,4	ˈskwä-drən	CCC1VCCVC	_skw1AAdrIXn.
cilium	CVCVVC	0,2,4	ˈsi-lē-əm	C1VCVVC	_s1IHlIYIXm.
camshaft	CVCCVCC	0,3	ˈkam-ˌshaft	C1VCCVCC	_k1AEmSAEft.
atomic	VCVCVC	0,1,3	ə-ˈtä-mik	VC1VCVC	_AXt1AAmIHk.
funeral	CVCCVC	0,3	ˈfyün-rəl	CC1VCVCCVC	_fy1UWnAXrrAXl.
underneath	VCCVCCVC	0,2,5	ˌən-dər-ˈnēth	1VCCVCC1VC	_1UXndAXrn1IYT.
bash	CVC	0	ˈbash	C1VC	_b1AES.
deniable	CVCVVCVC	0,2,4,5	di-ˈnī-ə-bəl	C1VCV 2VCVC	_d1EHnIY ~2EYbAXl.
cougar	CVCVC	0,2	ˈkü-gər	C1VCVC	_k1UWgAXr.
jab	CVC	0	ˈjab	C1VC	_J1AEb.
term	CVCC	0	ˈtərm	C1VCC	_t1AXrm.
eyeful	VCVC	0,1	ˈī-ˌfu̇l	1VCVC	_1AYfUHl.
debris	CVCCV	0,2	də-ˈbrē	CVCC1V	_dIHbr1IY.
concubine	CVCCVCVC	0,3,5	ˈkäŋ-kyu̇-ˌbīn	C1VCCCVCVC	_k1AANkyIXbAYn.
laudatory	CVCVCVCV	0,2,4,7	ˈlȯ-də-ˌtȯr-ē	C1VCVCVCV	_l1AOdIXtAOrIY.
graft	CCVCC	0	ˈgraft	CC1VCC	_gr1AEft.
basement	CVCCVCC	0,3	ˈbās-mənt	C1VC=CVCC	_b1EYs=mIXnt.
yard	VCC	0	ˈyärd	C1VCC	_y1AArd.
episcopalian	VCVCCVCVCVC	0,1,4,6,9	i-ˌpis-kə-ˈpāl-yən	VCVCCVC1VCVVC	_IHpIHskAXp1EYlIYIXn.
illimitable	VCCVCVCVCVC	0,2,4,6,8	(ˌ)i(l)-ˈli-mə-tə-bəl	VC1VCVCVCVC	_IHl1IHmIXtAXbAXl.
medieval	CVCVCVC	0,2,4	ˌmē-ˈdē-vəl	CVC1VCVC	_mIYd1IYvAXl.
overseas	VCVCCVC	0,1,4	ˌō-vər-ˈsēz	1VCVCC1VC	_1OWvAXrs1IYz.
disenfranchise	CVCVCCCVCCVC	0,3,5,9	ˌdis-in-ˈfran-ˌchīz	C1VCVCCC1VCCVC	_d1IHsEHnfr1AEnCAYz.
paris	CVCVC	0,2	ˈpa-rəs	C1VCVC	_p1AErIHs.
queen	CCVC	0	ˈkwēn	CC1VC	_kw1IYn.
famed	CVCC	0	ˈfāmd	C1VCC	_f1EYmd.
spectroscopy	CCVCCCVCCVCV	0,4,8,10	spek-ˈträs-kə-pē	CCVCCC1VCCVCV	_spEHktr1AAskAXpIY.
cannibalism	CVCVCVCVCVC	0,2,4,6,8	ˈka-nə-bə-ˌli-zəm	C1VCVCVCVCVC	_k1AEnIXbAXlIHzAXm.
illiberal	VCCVCVCVC	0,2,4,6	(ˌ)i(l)-ˈli-b(ə-)rəl	VC1VCVCCVC	_IHl1IHbAXrrAXl.
stenographer	CCVCVCCVCVC	0,3,5,8	stə-ˈnä-grə-fər	CCVC1VCCVCVC	_stIXn1AAgrAXfAXr.
prosaist	CCVCVVCC	0,3,5	ˈprō-(ˌ)zā-ist	CC1VC1VCC	_pr1AAz1EYst.
eyelid	VCVC	0,1	ˈī-ˌlid	1VCVC	_1AYlIHd.
handsome	CVCCVC	0,3	ˈhan(t)-səm	C1VCCVC	_h1AEnsAXm.
stretch	CCCVC	0	ˈstrech	CCC1VC	_str1EHC.
ram	CVC	0	ˈram	C1VC	_r1AEm.
hooter	CVCVC	0,2	ˈhü-tər	C1VC=VC	_h1UWt=AXr.
cost	CVCC	0	ˈkȯst	C1VCC	_k1AOst.
miniskirt	CVCVCCVCC	0,2,4	ˈmi-nē-ˌskərt	C1VCVCCVCC	_m1IHnIYskAXrt.
illustrative	VCVCCCVCVC	0,1,4,7	i-ˈləs-trə-tiv	VC1VCCCVCVC	_IHl1UXstrIXtIHv.
croatia	CCVVCVV	0,3,4,6	krō-ˈā-sh(ē-)ə	CCV1VCV	_krOW1EYSAX.
stencil	CCVCCVC	0,4	ˈsten(t)-səl	CC1VCCVC	_st1EHnsIXl.
quartet	CCVCCVC	0,4	kwȯr-ˈtet	CCVCC1VC	_kwAOrt1EHt.
mutineer	CVCVCVC	0,2,4	ˌmyü-tə-ˈnir	CC1VCVC1VC	_my1UWtIXn1IYr.
stake	CCVC	0	ˈstāk	CC1VC	_st1EYk.
tunic	CVCVC	0,2	ˈtü-nik	C1VCVC	_t1UWnIHk.
yankee	VCCV	0,2	ˈyaŋ-kē	C1VCCV	_y1AENkIY.
resistance	CVCVCCVCC	0,2,5	ri-ˈzis-tən(t)s	CVC1VCCVCC	_rIXz1IHstIXns.
kampala	CVCCVCV	0,3,5	käm-ˈpä-lä	C1VCC 2VCV	_k1AEmp ~2AElAE.
basque	CVCC	0	ˈbask	C1VCC	_b1AEsk.
harem	CVCVC	0,3	ˈher-əm	C1VCVC	_h1EHrAXm.
tighten	CVCVC	0,2	ˈtī-tən	C1VCVC	_t1AYtIXn.
precocious	CCVCVCVC	0,3,5	pri-ˈkō-shəs	CCVC1VCVC	_prIHk1OWSIXs.
dished	CVCC	0	ˈdisht	C1VCC	_d1IHSt.
elapse	VCVCC	0,1	i-ˈlaps	VC1VCC	_IHl1AEps.
swimsuit	CCVCCVC	0,4	ˈswim-ˌsüt	CC1VCCVC	_sw1IHmsUWt.
bilabial	CVCVCVVC	0,2,4,6	(ˌ)bī-ˈlā-bē-əl	CVC1VCVVC	_bAYl1EYbIYIXl.
recombine	CVCVCCVC	0,2,5	ˌrē-kəm-ˈbīn	CVCVCC1VC	_rIYkAXmb1AYn.
promiscuity	CCVCVCCVVCV	0,3,5,8,9	ˌprä-mə-ˈskyü-ə-tē	CC1VCVCCC1VVCV	_pr1AAmIXsky1UWIXtIY.
cognac	CVCVC	0,3	ˈkōn-ˌyak	C1VCCVC	_k1OWnyAEk.
clipboard	CCVCCVCC	0,4	ˈklip-ˌbȯrd	CC1VCCVCC	_kl1IHpbAOrd.
personify	CVCCVCVCV	0,3,5,7	pər-ˈsä-nə-ˌfī	CVCC1VCVCV	_pAXrs1AAnIXfAY.
squid	CCCVC	0	ˈskwid	CCC1VC	_skw1IHd.
finch	CVCC	0	ˈfinch	C1VCC	_f1IHnC.
liverish	CVCVCVC	0,2,4	ˈli-və-rish	C1VCVC=VC	_l1IHvAXr=IXS.
curly	CVCCV	0,3	ˈkər-lē	C1VCCV	_k1AXrlIY.
waterworks	CVCVCCVCCC	0,2,5	ˈwȯ-tər-ˌwərks	C1VCVC=CVCCC	_w1AOtAXr=wAXrks.
portentous	CVCCVCCVC	0,3,6	pȯr-ˈten-təs	CVCC1VCCVC	_pAOrt1EHntIXs.
fanny	CVCV	0,2	ˈfa-nē	C1VCV	_f1AEnIY.
wriggle	CVCVC	0,2	ˈri-gəl	C1VCVC	_r1IHgAXl.
civilly	CVCVCCV	0,2,5	ˈsi-və(l)-lē	C1VCVCV	_s1IHvIXlIY.
lifeless	CVCCVC	0,3	ˈlīf-ləs	C1VCCVC	_l1AYflIXs.
mortuary	CVCCVCVCV	0,3,5,8	ˈmȯr-chə-ˌwer-ē	C1VCCVVCV	_m1AOrCUWEHrIY.
atomistic	VCVCVCCVC	0,1,3,6	ˌa-tə-ˈmis-tik	1VC1VC1VCCVC	_1AEt1UXm1IHstIHk.
assumption	VCVCCVC	0,1,4	ə-ˈsəm(p)-shən	VC1VCCCVC	_AXs1UXmpSIXn.
correlate	CVCVCVC	0,3,4	ˈkȯr-ə-lət	C1VCVCVC	_k1AOrIXlEYt.
squarely	CCCVCCV	0,5	ˈskwer-lē	CCC1VCCV	_skw1EHrlIY.
engorge	VCCVCC	0,2	in-ˈgȯrj	VCC1VCC	_EHng1AOrJ.
bright	CCVC	0	ˈbrīt	CC1VC	_br1AYt.
rural	CVCVC	0,3	ˈru̇r-əl	C1VCVC	_r1UHrAXl.
dressing	CCVCVC	0,3	ˈdre-siŋ	CC1VC=VC	_dr1EHs=IHN.
arboretum	VCCVCVCVC	0,2,4,6	ˌär-bə-ˈrē-təm	VCCVCC1VCVC	_AArbAXrr1IYtAXm.
metronomic	CVCCVCVCVC	0,2,5,7	ˌme-trə-ˈnä-mik	C1VCCVC1VCVC	_m1EHtrIXn1AAmIHk.
derail	CVCVC	0,2	di-ˈrāl	C1VC1VC	_d1IYr1EYl.
bracket	CCVCVC	0,3	ˈbra-kət	CC1VCVC	_br1AEkAXt.
impermanence	VCCVCCCVCC	0,2,6	(ˌ)im-ˈpərm-nən(t)s	1VCCVCCVCVCC	_1IHmpAXrmAXnIXns.
casualty	CVCVCCV	0,2,5	ˈka-zhəl-tē	C1VCVVCCV	_k1AEZUWAXltIY.
investigate	VCCVCCVCVC	0,2,5,7	in-ˈves-tə-ˌgāt	VCC1VCCVCVC	_IHnv1EHstIXgEYt.
relevance	CVCVCVCC	0,2,4	ˈre-lə-vən(t)s	C1VCVCVCC	_r1EHlAXvIXns.
slim	CCVC	0	ˈslim	CC1VC	_sl1IHm.
altogether	VCCVCVCVC	0,2,4,6	ˌȯl-tə-ˈge-thər	VCCVC1VCVC	_AOltIXg1EHDAXr.
scotsman	CCVCCCVC	0,5	ˈskäts-mən	CC1VCC=CVC	_sk1AAts=mAXn.
singly	CVCCVCV	0,3,5	ˈsiŋ-g(ə-)lē	C1VCCCV	_s1IHNglIY.
consumable	CVCCVCVCVC	0,3,5,7	kən-ˈsü-mə-bəl	CVCC1VC=VCVC	_kAXns1UWm=AXbAXl.
adrenalin	VCCVCVCVC	0,1,4,6	ə-ˈdre-nə-lən	VCC1VCVCVC	_AXdr1EHnAXlIXn.
wife	CVC	0	ˈwīf	C1VC	_w1AYf.
bah	CV	0	ˈbä	C1V	_b1AA.
assured	VCVCC	0,1	ə-ˈshu̇rd	VC1VCC	_AXS1UHrd.
sine	CVC	0	ˈsīn	C1VC	_s1AYn.
tension	CVCCVC	0,3	ˈten(t)-shən	C1VCCVC	_t1EHnSIXn.
wherewith	CVCCVC	0,3	ˈhwer-ˌwith	C2VC=C1VC	~w2EHr=w1IHT.
tutu	CVCV	0,2	ˈtü-(ˌ)tü	C1VCV	_t1UWtUW.
diuretic	CVVCVCVC	0,2,3,5	ˌdī-yə-ˈre-tik	CVVC1VCVC	_dAYIXr1EHtIHk.
stalwart	CCVCCVCC	0,4	ˈstȯl-wərt	CC1VCCVCC	_st1AElwAXrt.
punctate	CVCCCVC	0,4	ˈpəŋk-ˌtāt	C1VCCC1VC	_p1UXNkt1EYt.
parade	CVCVC	0,2	pə-ˈrād	CVCC1VC	_pAXrr1EYd.
refugee	CVCVCV	0,2,4	ˌre-fyu̇-ˈjē	CVCCVC1V	_rEHfyUWJ1IY.
pall	CVC	0	ˈpȯl	C1VC	_p1AOl.
taciturn	CVCVCVCC	0,2,4	ˈta-sə-ˌtərn	C1VCVCVCC	_t1AEsIXtAXrn.
theft	CVCC	0	ˈtheft	C1VCC	_T1EHft.
bring	CCVC	0	ˈbriŋ	CC1VC	_br1IHN.
swab	CCVC	0	ˈswäb	CC1VC	_sw1AAb.
sinecure	CVCVCVC	0,2,4	ˈsī-ni-ˌkyu̇r	C1VCVCCVC	_s1IHnIHkyAXr.
fiat	CVVC	0,2	ˈfē-ət	C1VVC	_f1IYIXt.
oozy	VCV	0,1	ˈü-zē	1VCV	_1UWzIY.
largo	CVCCV	0,3	ˈlär-(ˌ)gō	C1VCCV	_l1AArgOW.
telephony	CVCVCVCV	0,2,4,6	tə-ˈle-fə-nē	CVC1VCVCV	_tIXl1EHfAXnIY.
sale	CVC	0	ˈsāl	C1VC	_s1EYl.
fermion	CVCCVVC	0,3,5	ˈfer-mē-ˌän	C1VCCVVC	_f1EHrmIYAAn.
inversely	VCCVCCCV	0,2,6	ˈin-ˌvərs-lē	VCC1VCC=CV	_IHnv1AXrs=lIY.
falsity	CVCCVCV	0,3,5	ˈfȯl-sə-tē	C1VCCVCV	_f1AOlsIXtIY.
daughter	CVCVC	0,2	ˈdȯ-tər	C1VCVC	_d1AOtAXr.
gracious	CCVCVC	0,3	ˈgrā-shəs	CC1VCVC	_gr1EYSIXs.
discourteous	CVCCVCCVVC	0,3,6,8	(ˌ)dis-ˈkər-tē-əs	CVCC1VCCVVC	_dIHsk1AXrtIYIXs.
filter	CVCCVC	0,3	ˈfil-tər	C1VCCVC	_f1IHltAXr.
illusory	VCVCCV	0,1,4	i-ˈlüs-rē	VC1VCVCCV	_IHl1UWsAXrrIY.
selfless	CVCCCVC	0,3	ˈsel-fləs	C1VCCCVC	_s1EHlflIXs.
ruth	CVC	0	ˈrüth	C1VC	_r1UWT.
theoretical	CVVCVCVCVC	0,2,3,5,7	ˌthē-ə-ˈre-ti-kəl	C1VVC1VCVCVC	_T1IYIXr1EHtIHkAXl.
instrument	VCCCCVCVCC	0,2,6	ˈin(t)-strə-mənt	1VCCCCVCVCC	_1IHnstrAXmIXnt.
manning	CVCVC	0,2	ˈma-niŋ	C1VC=VC	_m1AEn=IHN.
felicitous	CVCVCVCVC	0,2,4,6	fi-ˈli-sə-təs	CVC1VCVCVC	_fAXl1IHsIXtIXs.
wacky	CVCV	0,2	ˈwa-kē	C1VCV	_w1AEkIY.
surrealism	CVCVVCVCVC	0,2,4,5,7	sə-ˈrē-ə-ˌli-zəm	CVCC1VVCVCVC	_sAXrr1IYIXlIHzAXm.
larynx	CVCVCCC	0,3	ˈler-iŋ(k)s	C1VCVCCC	_l1AErIHNks.
etching	VCVC	0,1	ˈe-chiŋ	1VC=VC	_1EHC=IHN.
quibble	CCVCVC	0,3	ˈkwi-bəl	CC1VCVC	_kw1IHbAXl.
helping	CVCCVC	0,3	ˈhel-piŋ	C1VCC=VC	_h1EHlp=IHN.
slimy	CCVCV	0,3	ˈslī-mē	CC1VCV	_sl1AYmIY.
brunei	CCVCV	0,3	bru̇-ˈnī	CCVC1V	_brUWn1AY.
